Tweet,Text Label
".omg why are poc wearing fugly blue contacts so in, it is 2018. please make it stop.",Non-Bullying
.Sorry but most of the runners popular right now are just plain fugly.,Non-Bullying
".those jeans are hideous, and I?m afraid he?s bought the entire collection of those fugly sunglasses ??",Non-Bullying
.I had to dress up for a presentation in class today and I?m giving some serious Mr. Grey zaddy vibes if I do say so myself,Non-Bullying
.Am I the only one who thinks justin bieber is fugly af now?,Non-Bullying
We carry on? We as in fugly lookin unwanted people?,Non-Bullying
"Don?t know what?s worse, the fact he?s hoying milk in before the water or his fat fugly face at the end of that vid.",Non-Bullying
" Enjoy your New Smyrna Beach..full of seaweed, shallow fugly green water and sharks. Nothing comp.",Non-Bullying
Yeah honestly that?s fugly.,Non-Bullying
No one wants to see those fugly 3T bikes?,Non-Bullying
This luxury bldg they?re putting up across from .thepinhook is so fugly. I would still be mad even if it were aesthetically pleasing but ew.,Non-Bullying
Everyone else was in the line up except for her and they got to debut together while she gad to wear a fugly purple.,Non-Bullying
Fell for that again didnt ya XD #PhoneCallTrick.,Non-Bullying
fugly Am alright starting to get a headache myself.,Non-Bullying
"Fugly?, Whom?, You two? Henny.....",Non-Bullying
o wow conq varus actually looks good unlike fucking horrifically fugly conq karma.,Non-Bullying
"I'm fed up with this migraine."", ""How's you",Non-Bullying
King Show off.,Non-Bullying
"if anyone references talking about aliens when explaining aquarius they are fraudulent.', 'do not trust them, they are a fugly.",Non-Bullying
She's fugly.,Non-Bullying
".I am fugly crying!', 'I can?t handle this!', 'This was so beautiful!', 'Euphoria is such a bop too.', '????.",Non-Bullying
"i literally only know one person who uses the word fugly.', 'lol fuck off anna..",Non-Bullying
.Fugly ass.,Non-Bullying
.today i am fatish and fugly.,Non-Bullying
"The ?fugly? friend.', 'Funny &; ugly.",Non-Bullying
.Is fugly a curse word?.,Non-Bullying
.Pain is putting on the outfit that was so cute in your head only to find out it?s fugly on.,Non-Bullying
.And now theres like 20 people claimin one ov my fb statuses is bout them XD People round ear make me chuckle.,Non-Bullying
damn I?m fugly.,Non-Bullying
Fugly,Non-Bullying
"Oh I know.....new titans unis are fugly!', 'Keep enjoying your mayo.",Non-Bullying
finsta is cool because on regular insta everyone showcases their perfect lives &amp; has no flaws but when i check my finsta fe.,Non-Bullying
You never know how much someone means until they are gone.,Non-Bullying
fugly how are you today buddy.,Non-Bullying
"At what Halle?', 'At what?.",Non-Bullying
It's so annoying how Joe looks handsome all the daaaamn time and I need a black and white filter otherwise I strugs,Non-Bullying
".Whenever I see a photo of a girl wt the snapchat ?hearts? filter...', 'I take it as an admission of gulit to being fugly.",Non-Bullying
Tweaking libruls definitely includes wearing something this fugly..,Non-Bullying
I feel dirty having the same icon as this fugly person.,Non-Bullying
I am the opposite: I know exactly how to use lines but fugly as shit..,Non-Bullying
"Aight I just gotta know.', 'Are these cool?', 'I think they are fugly, but I turn 40 this month, so my opinion doesn?t se.",Non-Bullying
Youtuber disgusses fugly movie (for the sake of criticism) - movie director finds ou.,Non-Bullying
